pala,kumu,supu,filter_$
30,0,1,1
100,0,1,0
50,0,1,1
29,0,1,0
120,0,2,1
99,0,2,0
45,0,2,1
127,0,2,1
70,0,2,0
42,0,2,0
100,0,1,0
76,0,1,0
58,0,2,1
66,0,1,1
100,0,2,0
86,0,2,1
59,0,1,0
67,0,1,1
48,0,2,1
57,0,2,0
55,0,2,0
52,0,1,1
110,0,2,1
78,0,1,1
48,0,1,0
84,0,1,0
85,0,1,1
95,0,1,1
246,0,2,1
250,0,1,1
20,0,1,0
36,0,2,0
65,0,1,0
34,0,1,1
66,0,2,0
75,0,2,0
89,0,1,1
94,0,1,1
93,0,1,1
58,0,2,1
64,0,1,1
96,0,2,1
62,0,1,0
60,0,2,1
119,0,2,0
59,0,1,1
120,0,1,1
138,0,2,1
165,0,1,0
70,0,1,0
95,0,1,0
75,0,2,1
48,0,2,0
34,0,2,1
70,0,1,1
34,0,2,0
57,0,2,1
75,0,2,1
19,0,1,1
154,0,1,1
28,0,1,1
140,0,1,1
120,0,1,1
74,1,2,0
100,1,1,1
80,1,1,1
99,1,2,1
133,1,1,1
99,1,2,1
48,1,2,1
125,1,2,0
138,1,2,1
100,0,2,1
36,0,1,0
125,0,1,0
47,0,2,0
100,0,2,0
89,0,1,1
103,0,1,0
91,0,2,0
93,0,2,0
82,0,2,1
52,0,2,1
90,0,2,1
78,0,2,0
65,0,2,1
83,0,1,0
74,0,1,0
51,0,2,1
56,0,2,0
34,0,1,0
80,0,1,1
45,0,1,0
170,0,1,0
117,0,2,0
27,0,2,1
47,0,1,0
82,0,2,1
97,0,1,1
35,0,2,0
90,0,2,0
86,0,2,1
78,0,2,0
76,0,1,1
100,0,1,0
75,0,2,1
58,0,2,0
34,0,1,0
79,0,1,1
70,0,2,0
33,0,2,0
92,0,2,0
110,0,2,0
119,0,2,0
97,0,1,1
95,1,1,1
15,0,1,0
128,1,1,0
100,0,1,0
63,0,2,1
58,0,2,0
91,0,2,1
57,0,2,1
85,0,1,0
37,0,1,1
75,0,1,1
111,0,2,0
100,0,2,1
87,1,2,0
60,0,2,1
75,0,2,1
77,0,1,0
65,0,1,1
77,0,1,1
115,0,1,1
30,0,1,0
63,0,2,0
40,0,2,0
62,0,2,0
30,0,2,1
220,0,1,0
74,0,1,0
35,0,2,0
36,0,1,0
138,0,2,1
75,0,2,0
72,0,2,0
114,0,1,0
50,0,1,1
65,0,2,1
51,0,2,1
105,0,1,1
250,0,2,0
63,0,2,1
10,0,1,1
93,0,2,0
70,1,2,0
74,1,1,0
200,1,1,0
117,1,1,1
49,1,1,1
55,1,2,1
113,1,2,1
98,1,1,1
100,1,2,0
75,1,1,0
62,1,2,0
123,1,2,0
160,1,2,0
106,1,1,0
100,1,1,1
127,1,1,0
111,1,2,1
75,1,2,0
100,1,1,0
70,1,2,0
28,1,1,1
98,1,1,0
118,1,2,0
55,0,1,1
101,0,2,0
79,0,1,1
75,0,2,0
90,1,2,1
170,1,2,0
100,1,2,0
160,1,1,0
100,1,1,0
100,1,2,0
28,1,2,0
24,1,2,0
125,1,2,0
220,1,1,0
245,1,2,1
119,1,2,0
112,0,1,1
45,0,1,0
65,0,1,0
56,0,2,0
68,0,1,0
75,0,1,0
170,0,1,1
110,0,1,0
59,0,2,0
57,0,2,1
14,0,2,0
89,0,2,0
122,0,1,0
80,0,2,0
48,0,2,1
52,0,2,0
74,0,1,1
42,0,2,1
60,0,2,0
64,0,2,0
105,0,2,1
79,0,1,0
91,0,1,1
76,0,2,0
54,0,1,1
90,0,2,1
30,0,2,0
33,0,2,1
75,0,2,1
110,0,1,1
44,0,1,1
120,0,2,0
100,0,2,1
96,0,2,0
65,0,2,0
106,0,2,1
76,1,1,1
80,1,1,1
80,1,2,0
70,1,2,1
48,0,1,0
105,0,2,0
80,0,2,0
60,1,2,0
61,0,2,0
35,0,2,0
110,0,1,0
66,0,2,0
30,0,2,0
79,0,2,0
112,0,1,1
65,1,2,0
93,1,1,1
100,1,1,0
100,1,1,0
100,1,2,1
75,1,2,1
60,1,2,0
84,1,2,0
52,0,2,0
47,1,2,0
138,1,1,0
60,1,2,0
54,1,2,1
68,1,1,1
145,1,2,1
92,1,2,0
77,1,2,0
105,1,2,0
128,1,1,0
100,1,1,0
67,1,2,1
130,1,2,1
35,1,1,0
60,1,2,0
35,1,1,0
84,1,1,0
98,1,1,1
160,1,1,1
74,1,1,0
108,1,2,1
130,1,1,0
70,1,1,0
60,1,1,0
34,1,2,0
35,1,1,0
55,0,2,1
136,1,1,0
60,1,1,1
90,1,2,0
180,1,2,1
79,1,2,0
120,1,2,0
74,1,2,1
59,0,2,0
34,0,2,1
33,1,1,1
120,1,1,0
100,1,2,0
69,0,2,1
150,1,1,1
120,1,1,0
150,1,1,0
31,1,2,0
110,1,2,0
103,1,2,1
104,1,2,1
35,1,2,1
37,1,1,0
120,1,2,0
100,1,2,0
75,1,1,1
210,1,1,0
68,0,1,1
32,0,2,0
80,0,2,1
12,1,2,1
75,1,1,0
100,1,1,1
74,1,2,0
61,1,2,1
75,1,2,0
79,1,2,0
100,1,1,0
100,1,2,0
140,1,1,1
18,1,2,1
80,1,2,1
80,1,1,0
117,1,2,0
18,1,1,0
35,1,2,0
165,1,1,0
63,0,2,1
75,0,1,0
100,0,2,1
210,0,1,0
75,0,1,0
38,0,2,0
47,0,1,1
54,0,1,0
119,0,1,1
180,1,1,1
57,1,2,1
110,0,1,1
220,1,1,1
150,1,1,0
43,0,2,1
75,0,2,1
170,0,2,1
32,0,1,1
89,0,2,0
48,0,1,0
65,0,2,1
170,1,1,1
80,1,1,0
60,0,2,1
71,0,2,0
89,1,2,0
76,1,1,0
119,1,1,1
20,0,1,0
80,0,2,1
100,0,1,0
100,0,2,0
138,1,1,0
83,1,1,0
100,0,2,0
50,0,2,1
42,0,2,0
71,0,2,0
61,0,1,0
63,0,1,1
49,0,2,0
42,0,1,0
60,0,2,0
43,0,1,1
63,0,2,1
36,0,2,1
85,0,1,1
122,0,1,0
89,0,2,0
42,0,1,1
81,0,2,1
46,0,2,1
106,0,1,1
74,0,1,0
122,0,1,1
21,0,1,0
88,1,1,1
60,1,1,0
120,1,1,0
57,0,1,0
58,0,2,0
58,0,2,0
84,1,2,1
79,1,1,0
110,1,2,0
120,0,1,1
36,0,2,1
150,1,1,0
137,0,1,0
79,1,1,0
63,0,1,1
30,1,1,1
47,1,1,0
74,1,2,1
61,0,2,1
92,0,2,0
92,1,1,0
30,1,1,1
56,0,2,1
70,1,1,1
12,1,2,0
39,0,1,0
102,0,2,0
90,0,2,0
46,1,1,1
56,0,2,1
59,0,1,0
72,0,2,1
15,1,2,0
74,1,2,1
85,1,1,0
85,0,1,1
12,0,2,0
117,0,1,1
25,0,1,1
96,0,2,0
75,1,2,0
110,0,1,0
58,1,2,1
48,1,2,0
150,0,2,0
50,0,1,0
136,0,1,0
52,0,2,0
110,0,2,1
110,1,2,1
39,0,1,0
115,1,1,1
115,1,1,0
75,0,2,1
55,0,2,1
30,0,2,0
140,0,1,0
23,0,2,0
82,0,2,0
124,0,1,0
63,0,2,0
61,0,2,1
47,0,2,0
48,0,2,1
24,0,1,1
70,0,1,1
92,0,2,1
44,0,1,1
73,0,1,0
48,1,2,0
90,0,1,1
175,0,1,1
76,0,2,1
90,0,2,1
200,1,1,0
99,0,1,1
110,0,2,1
